Wall time,Step,Value
1681914278.309969,10600,186.0
1681914304.9252222,11900,142.0
1681914317.1081994,12500,130.0
1681914349.965821,14100,109.0
1681914354.1701374,14300,107.0
1681914360.4838388,14600,105.0
1681914364.769737,14800,103.0
1681914376.9375224,15400,99.0
1681914383.094941,15700,97.0
1681914414.4847991,17200,89.0
1681914420.6814556,17500,87.0
1681914431.227297,18000,85.0
1681914448.2543051,18800,82.0
1681914462.92313,19500,80.0
1681914479.8213089,20300,78.0
1681914486.1592884,20600,77.0
1681914488.2616434,20700,77.0
1681914503.0793066,21400,76.0
1681914513.746413,21900,74.0
1681914530.5622573,22700,73.0
1681914558.2305083,24000,71.0
1681914581.6521778,25100,69.0
1681914592.2699766,25600,69.0
1681914598.777464,25900,68.0
1681914617.9291043,26800,67.0
1681914620.1281567,26900,67.0
1681914641.4275293,27900,66.0
1681914652.047687,28400,65.0
1681914656.5131292,28600,65.0
1681914658.6452866,28700,65.0
1681914667.3246577,29100,65.0
1681914684.5803387,29900,64.0
1681914702.107258,30700,63.0
1681914704.2241566,30800,63.0
1681914714.9075696,31300,63.0
1681914738.9282672,32400,62.0
1681914751.963641,33000,62.0
1681914763.0704749,33500,61.0
1681914769.486427,33800,61.0
1681914796.0401068,35000,60.0
1681914809.2402012,35600,60.0
1681914820.1755707,36100,60.0
1681914835.5110397,36800,59.0
1681914844.476679,37200,59.0
1681914848.8928041,37400,59.0
1681914890.8992298,39300,58.0
1681914901.949127,39800,58.0
1681914904.2127056,39900,58.0
1681914915.4747815,40400,58.0
1681914926.555375,40900,58.0
1681914931.2345648,41100,57.0
1681914948.7918582,41900,57.0
1681914951.0097091,42000,57.0
1681914966.4470844,42700,57.0
1681914975.2173176,43100,57.0
1681914995.1694026,44000,56.0
1681915013.1489127,44800,56.0
1681915048.866918,46400,56.0
1681915057.766264,46800,55.0
1681915071.048339,47400,55.0
1681915080.0630825,47800,55.0
1681915084.6220381,48000,55.0
1681915179.2832088,52200,54.0
