Wall time,Step,Value
1681914223.863728,503,96.0
1681914224.3277428,606,103.0
1681914226.3716288,1016,88.0
1681914226.750914,1100,84.0
1681914227.6744857,1298,70.0
1681914227.915624,1351,53.0
1681914228.2177234,1417,66.0
1681914229.0492604,1592,90.0
1681914229.3932242,1668,76.0
1681914229.843211,1761,93.0
1681914230.3066416,1864,103.0
1681914232.2191114,2278,66.0
1681914235.8290403,3050,114.0
1681914236.1567395,3122,72.0
1681914236.9278777,3288,66.0
1681914242.289308,4445,75.0
1681914242.716545,4537,92.0
1681914243.4397671,4714,116.0
1681914244.1495526,4879,60.0
1681914244.4504817,4952,73.0
1681914245.2083113,5134,116.0
1681914245.902646,5299,59.0
1681914246.2750738,5388,89.0
1681914247.249394,5619,92.0
1681914247.6853166,5725,106.0
1681914247.952661,5791,66.0
1681914248.1944714,5850,59.0
1681914248.7755775,5988,138.0
1681914249.845179,6241,73.0
1681914250.1479125,6313,72.0
1681914250.6738431,6438,63.0
1681914251.403557,6613,107.0
1681914251.7765334,6697,84.0
1681914252.099783,6771,74.0
1681914252.4188223,6847,76.0
1681914253.50059,7096,93.0
1681914253.8230922,7174,78.0
1681914254.32833,7293,119.0
1681914254.5917034,7353,60.0
1681914255.7881117,7633,137.0
1681914256.745838,7862,74.0
1681914258.4134452,8254,68.0
1681914258.7793632,8342,88.0
1681914259.1955013,8436,94.0
1681914259.6139092,8533,97.0
1681914259.958313,8618,85.0
1681914260.4300754,8728,110.0
1681914262.2184508,9155,97.0
1681914265.7387803,9981,95.0
1681914270.94011,10247,97.0
1681914272.4491332,10316,69.0
1681914287.580387,11051,91.0
1681914294.2969997,11382,78.0
1681914297.8005013,11553,68.0
1681914299.5186212,11638,85.0
1681914300.9566486,11705,67.0
1681914307.7454655,12041,94.0
1681914310.0230515,12151,110.0
1681914311.8035407,12246,95.0
1681914318.3318222,12563,76.0
1681914319.789479,12635,72.0
1681914326.164686,12949,86.0
1681914333.325042,13296,93.0
1681914337.3605056,13491,115.0
1681914340.8320253,13664,97.0
1681914343.252552,13779,115.0
1681914345.2535954,13879,100.0
1681914347.5209923,13990,111.0
1681914353.9607668,14292,84.0
1681914357.292582,14451,72.0
1681914364.5642426,14793,107.0
1681914366.947858,14911,118.0
1681914370.230724,15078,167.0
1681914374.2448843,15272,107.0
1681914375.894131,15355,83.0
1681914378.7768068,15491,136.0
1681914383.7362323,15734,91.0
1681914388.0868444,15950,122.0
1681914390.1832552,16049,99.0
1681914394.9625063,16276,106.0
1681914397.443736,16400,124.0
1681914403.2259376,16667,76.0
1681914413.0296164,17138,89.0
1681914415.311089,17247,109.0
1681914416.7491913,17320,73.0
1681914421.338437,17540,105.0
1681914423.273741,17628,88.0
1681914428.3500087,17861,138.0
1681914431.6787443,18025,73.0
1681914433.8239717,18129,104.0
1681914435.5426521,18209,80.0
1681914437.794914,18313,104.0
1681914442.8756275,18556,130.0
1681914444.5759683,18635,79.0
1681914457.5937092,19244,67.0
1681914463.8542411,19546,91.0
1681914472.3865764,19955,79.0
1681914474.6827376,20067,112.0
1681914476.6197052,20154,87.0
1681914483.887805,20494,77.0
1681914489.0534582,20741,78.0
1681914495.9744277,21066,126.0
1681914497.4305003,21136,70.0
1681914503.114196,21405,107.0
1681914504.989045,21492,87.0
1681914508.1724057,21649,88.0
1681914509.8415864,21722,73.0
1681914512.022843,21826,104.0
1681914515.9935572,22001,61.0
1681914517.3988345,22075,74.0
1681914519.3051498,22162,87.0
1681914521.180548,22253,91.0
1681914522.6577356,22322,69.0
1681914523.977136,22390,68.0
1681914529.8091638,22669,101.0
1681914535.7492092,22945,101.0
1681914544.2578578,23349,85.0
1681914548.0876236,23529,96.0
1681914551.4438825,23684,69.0
1681914553.8202543,23793,109.0
1681914563.5498548,24252,64.0
1681914569.899819,24551,87.0
1681914571.6026685,24637,86.0
1681914573.7545264,24740,103.0
1681914576.0312858,24842,102.0
1681914579.778454,25014,69.0
1681914587.9970148,25404,70.0
1681914592.3257697,25608,99.0
1681914596.3916075,25794,95.0
1681914600.039446,25967,96.0
1681914610.2108946,26439,97.0
1681914614.8649018,26657,125.0
1681914623.3537939,27056,92.0
1681914631.8855019,27460,95.0
1681914636.0194626,27651,93.0
1681914638.3861885,27761,110.0
1681914644.7148404,28056,59.0
1681914649.5575914,28285,86.0
1681914652.5526514,28425,140.0
1681914654.7222064,28524,99.0
1681914659.1069524,28729,83.0
1681914661.5246572,28835,106.0
1681914663.5969238,28929,94.0
1681914670.6587682,29258,87.0
1681914672.775094,29357,99.0
1681914676.7991328,29541,66.0
1681914682.663528,29816,86.0
1681914691.3697565,30213,85.0
1681914693.596839,30320,107.0
1681914695.9980192,30428,108.0
1681914698.3715,30538,110.0
1681914702.3534114,30716,74.0
1681914707.880602,30974,73.0
1681914709.5665624,31053,79.0
1681914711.0504663,31121,68.0
