Wall time,Step,Value
1681914223.863606,503,-130.7322998046875
1681914224.327663,606,-167.13694763183594
1681914226.3715074,1016,-84.79151916503906
1681914226.7507944,1100,-87.04721069335938
1681914227.6743186,1298,-135.5292205810547
1681914227.9155133,1351,-177.2632598876953
1681914228.217581,1417,-121.06790161132812
1681914229.0490918,1592,-252.2052459716797
1681914229.3930743,1668,-107.0565185546875
1681914229.8430643,1761,-383.9135437011719
1681914230.3065343,1864,-344.9261474609375
1681914232.218987,2278,-154.2932586669922
1681914235.8289454,3050,-280.1100769042969
1681914236.1566455,3122,-278.7685546875
1681914236.927759,3288,-51.37077331542969
1681914242.289182,4445,-274.3710021972656
1681914242.7164323,4537,-198.01986694335938
1681914243.4396358,4714,-137.171875
1681914244.1494513,4879,-152.55490112304688
1681914244.450369,4952,-120.40455627441406
1681914245.2081628,5134,-228.88699340820312
1681914245.902525,5299,-139.2788848876953
1681914246.2749574,5388,-294.73773193359375
1681914247.249267,5619,-146.5993194580078
1681914247.6851826,5725,-90.49110412597656
1681914247.9524992,5791,-89.15116119384766
1681914248.1943095,5850,-115.55836486816406
1681914248.7754498,5988,-210.75633239746094
1681914249.845065,6241,-110.51710510253906
1681914250.147807,6313,-108.84783172607422
1681914250.6737244,6438,-192.4730682373047
1681914251.4034452,6613,-323.22613525390625
1681914251.776427,6697,-148.05966186523438
1681914252.0996299,6771,-131.48133850097656
1681914252.4186885,6847,-148.9344940185547
1681914253.500497,7096,-239.96839904785156
1681914253.8229947,7174,-183.08181762695312
1681914254.3282511,7293,-312.76806640625
1681914254.5916126,7353,-92.55763244628906
1681914255.78803,7633,-117.13198852539062
1681914256.7457123,7862,-231.9180145263672
1681914258.413321,8254,-74.76235961914062
1681914258.7792404,8342,-443.9409484863281
1681914259.1953876,8436,-454.43475341796875
1681914259.6137683,8533,-166.78753662109375
1681914259.958199,8618,-20.22582244873047
1681914260.42994,8728,-113.76715850830078
1681914262.2183173,9155,-186.2528076171875
1681914265.7386477,9981,-129.1958770751953
1681914270.9399672,10247,-115.77050018310547
1681914272.449012,10316,-83.59956359863281
1681914287.580218,11051,-212.7284698486328
1681914294.2968764,11382,-73.22543334960938
1681914297.8003495,11553,-159.48008728027344
1681914299.5184488,11638,-227.96133422851562
1681914300.9565291,11705,-150.56671142578125
1681914307.7453165,12041,-111.56378173828125
1681914310.022938,12151,-310.60760498046875
1681914311.803408,12246,-149.10601806640625
1681914318.3316953,12563,-97.79853820800781
1681914319.789365,12635,-87.01170349121094
1681914326.1645603,12949,-310.9559020996094
1681914333.324932,13296,-281.32720947265625
1681914337.360395,13491,-69.70883178710938
1681914340.8319287,13664,-219.04962158203125
1681914343.252472,13779,-244.36183166503906
1681914345.2534604,13879,-139.4873504638672
1681914347.5208807,13990,-206.32479858398438
1681914353.9606664,14292,-153.26812744140625
1681914357.2924798,14451,-70.72412872314453
1681914364.564116,14793,-238.1000213623047
1681914366.9477463,14911,-397.2379455566406
1681914370.2306259,15078,-273.89581298828125
1681914374.2447562,15272,-238.9807891845703
1681914375.8940341,15355,-26.883697509765625
1681914378.776662,15491,-137.44393920898438
1681914383.7361255,15734,-113.99076080322266
1681914388.0867538,15950,-163.08721923828125
1681914390.1831586,16049,-186.25608825683594
1681914394.9623559,16276,-89.59508514404297
1681914397.4436183,16400,-125.56327819824219
1681914403.225828,16667,-124.41070556640625
1681914413.029498,17138,-412.5115051269531
1681914415.3109415,17247,-139.48228454589844
1681914416.74906,17320,-121.56611633300781
1681914421.3383248,17540,-420.1729736328125
1681914423.2736218,17628,-218.54489135742188
1681914428.349885,17861,-105.67037963867188
1681914431.678636,18025,-109.22312927246094
1681914433.8238428,18129,-181.5785675048828
1681914435.5425136,18209,-150.42881774902344
1681914437.7947886,18313,-111.82398223876953
1681914442.8755174,18556,-125.07746887207031
1681914444.5758543,18635,-395.7603454589844
1681914457.5935638,19244,-91.76176452636719
1681914463.854115,19546,-182.7379150390625
1681914472.3864722,19955,-156.24847412109375
1681914474.6826396,20067,-110.99832153320312
1681914476.6196098,20154,-218.04737854003906
1681914483.887664,20494,-227.51083374023438
1681914489.053344,20741,-83.70658111572266
1681914495.974355,21066,-198.4959716796875
1681914497.4304008,21136,-102.70233154296875
1681914503.114101,21405,-176.72976684570312
1681914504.9889123,21492,-138.88265991210938
1681914508.1723216,21649,-28.753036499023438
1681914509.8414545,21722,-79.39247131347656
1681914512.0227091,21826,-229.80982971191406
1681914515.9934378,22001,-74.43048095703125
1681914517.3987331,22075,-81.91166687011719
1681914519.305045,22162,-371.377197265625
1681914521.1804407,22253,-123.81532287597656
1681914522.6575959,22322,-159.55206298828125
1681914523.9770126,22390,-259.09210205078125
1681914529.8090343,22669,-250.76881408691406
1681914535.7490468,22945,-309.6627197265625
1681914544.2577262,23349,-113.40277862548828
1681914548.0875232,23529,-348.22509765625
1681914551.4438012,23684,-158.6188201904297
1681914553.8201644,23793,-266.806884765625
1681914563.549697,24252,-1.652587890625
1681914569.899704,24551,-73.9786376953125
1681914571.6025703,24637,-59.81882858276367
1681914573.754355,24740,-92.16394805908203
1681914576.0311651,24842,-118.30641174316406
1681914579.7783787,25014,-130.79434204101562
1681914587.996916,25404,-102.506103515625
1681914592.3256683,25608,-141.06546020507812
1681914596.3915055,25794,-446.4222717285156
1681914600.0392983,25967,-414.5901794433594
1681914610.2107682,26439,-150.21058654785156
1681914614.8647523,26657,-42.82855987548828
1681914623.3536804,27056,-384.1571960449219
1681914631.8853593,27460,-363.38946533203125
1681914636.019358,27651,-353.87567138671875
1681914638.3860946,27761,-248.74049377441406
1681914644.7147279,28056,-172.24758911132812
1681914649.5574548,28285,-352.05560302734375
1681914652.5525138,28425,-85.17218780517578
1681914654.7220776,28524,-109.9112319946289
1681914659.106833,28729,-53.98363494873047
1681914661.5245697,28835,-246.4860382080078
1681914663.596841,28929,-174.0329132080078
1681914670.658685,29258,-454.24896240234375
1681914672.7750006,29357,-96.01119995117188
1681914676.799049,29541,-76.73947143554688
1681914682.6634076,29816,-91.37358093261719
1681914691.3696146,30213,-77.94622802734375
1681914693.596692,30320,-94.87857055664062
1681914695.9978848,30428,-205.10513305664062
1681914698.3713756,30538,-183.06246948242188
1681914702.3533144,30716,-291.74578857421875
1681914707.8804352,30974,-196.0130615234375
1681914709.5664341,31053,-171.28936767578125
1681914711.050345,31121,-116.34042358398438
