Wall time,Step,Value
1682530896.9511387,3725,-364.56268310546875
1682530897.8092747,4035,-272.98602294921875
1682530903.7448044,6202,-127.18850708007812
1682530909.3740425,8248,-96.03447723388672
1682530981.4884565,14323,-314.5145263671875
1682530993.998939,15133,-200.26071166992188
1682531086.1198978,21001,-418.3995056152344
1682531092.5966976,21421,-103.83430480957031
1682531122.2519846,23311,-107.67074584960938
1682531147.3651307,24895,-323.44500732421875
1682531197.3949456,28079,-57.478694915771484
1682531200.6244907,28282,-141.72500610351562
1682531211.5667686,28987,-245.6774139404297
1682531360.9544647,38411,-189.11241149902344
1682531419.7222288,42111,-99.89244079589844
1682531441.5068977,43480,-180.18853759765625
1682531534.655428,49307,-114.18341064453125
1682531576.2183661,51916,-255.0165557861328
1682531600.219626,53406,-104.85083770751953
1682531608.6786687,53930,-57.6149787902832
1682531680.5816147,58440,-64.13914489746094
1682531699.0926378,59600,-94.50371551513672
1682531719.4415205,60847,-180.21340942382812
1682531735.0191264,61820,-91.93366241455078
1682531799.618093,65847,-159.2041015625
1682531813.8599246,66725,-232.17251586914062
1682531884.0808873,71058,-112.82755279541016
1682531905.2043686,72363,-380.33770751953125
1682531908.16323,72546,-317.45751953125
1682531930.244559,73931,-97.60986328125
1682531939.7717178,74524,-323.8565673828125
1682531978.9811594,76933,-120.54556274414062
1682532156.4878407,87896,-87.30858612060547
1682532196.5401237,90356,-256.2196044921875
1682532251.8600125,93711,-366.5068054199219
1682532265.9703794,94562,-258.4520568847656
1682532342.8900568,99249,-106.12744140625
1682532347.489327,99527,-59.85242462158203
1682532404.2700062,102969,-49.96807098388672
1682532517.9384525,109917,-216.6027069091797
1682532641.8767047,117452,-310.64593505859375
1682532722.960882,122356,-128.7546844482422
1682532727.7944398,122648,-178.311767578125
1682532749.620231,123977,-221.27828979492188
1682532755.654975,124346,-111.09245300292969
1682532832.798666,128982,-20.14348602294922
1682532842.730788,129596,-260.59979248046875
1682532895.6827703,132799,-129.6046905517578
1682532910.5551846,133693,-208.4200897216797
1682532955.044808,136348,-114.48197937011719
1682532994.1564803,138690,-257.88433837890625
1682533043.9852183,141687,-378.1928405761719
1682533088.284732,144323,-109.7982177734375
1682533113.9879177,145848,-151.076171875
1682533141.3006048,147464,-104.6277847290039
1682533170.4533606,149240,-86.46919250488281
1682533223.5920775,152384,-116.71603393554688
1682533305.1856685,157225,-125.77379608154297
1682533332.896217,158871,-97.15364074707031
1682533346.3385193,159667,-330.138916015625
1682533367.9075613,160942,-290.1531677246094
1682533370.6703515,161102,-364.3858642578125
1682533374.8973289,161370,-281.4546203613281
1682533458.3325386,166342,8.560745239257812
1682533554.9620354,172056,-153.33096313476562
1682533568.9294705,172884,-208.08779907226562
1682533587.3371491,173931,-74.98650360107422
1682533592.5360136,174237,-252.15966796875
1682533605.0863838,174980,-126.89106750488281
1682533664.0671678,178453,-197.73963928222656
1682533694.268674,180227,-129.2322235107422
1682533715.0291538,181432,-209.08111572265625
1682533804.999633,186744,-328.248779296875
1682533863.8148777,190210,-323.36968994140625
1682533928.6008852,194038,-336.13037109375
1682533960.1064057,195906,-106.43904876708984
1682534106.8079252,204553,-408.35015869140625
1682534127.5748408,205765,-94.13561248779297
1682534149.0949585,207030,-286.705810546875
1682534182.224277,208936,-171.28233337402344
1682534189.537459,209371,-156.57081604003906
1682534191.0157151,209452,-108.58160400390625
1682534236.9824662,212178,14.657684326171875
1682534244.6952865,212626,-105.23542785644531
1682534316.871303,216824,-168.5650634765625
1682534336.3525333,217936,-248.74313354492188
1682534394.3414087,221274,-233.49684143066406
1682534451.2653947,224567,-105.29454803466797
1682534452.5887744,224644,-97.82707977294922
1682534527.4939644,228989,-100.31436157226562
1682534552.7465746,230467,-72.82789611816406
1682534556.4304538,230676,-84.73153686523438
1682534564.8255315,231180,-244.96389770507812
1682534604.1292095,233467,-108.07369232177734
1682534605.8557954,233568,-266.9547119140625
1682534620.8463104,234433,-208.7789306640625
1682534623.5214086,234592,-44.366939544677734
1682534632.409798,235101,-350.3902587890625
1682534678.1110659,237721,-183.78936767578125
1682534701.958503,239081,-126.75823974609375
1682534711.6330655,239655,-272.2681579589844
1682534930.495319,252145,-197.99668884277344
1682535023.4250777,257496,-108.32339477539062
1682535047.3695962,258867,-105.36040496826172
1682535105.6946683,262229,-323.1846923828125
1682535284.9958062,272334,-132.88839721679688
1682535416.2693658,279758,-140.77590942382812
1682535486.1955578,283759,-138.3842010498047
1682535532.4873922,286364,-324.18603515625
1682535537.5150275,286646,-94.21661376953125
1682535631.582051,291944,-83.15641021728516
1682535730.0035954,297553,-88.97505950927734
1682535788.0775492,300872,-127.10603332519531
1682535863.9926498,305152,-35.274688720703125
1682535887.2391505,306445,-124.26373291015625
1682535891.6693182,306699,-76.2022933959961
1682535893.1886692,306781,-65.9296875
1682535990.6003747,312256,-219.44302368164062
1682536168.184378,322134,-119.62202453613281
1682536240.2214699,326129,-195.32606506347656
1682536291.9885335,329036,46.34425354003906
1682536497.4183028,340476,-146.67922973632812
1682536529.5521157,342229,-375.54742431640625
1682536533.908434,342478,-211.96067810058594
1682536622.8257823,347417,-26.871841430664062
1682536720.486486,352727,-147.23507690429688
1682536745.1328957,354072,-146.8125762939453
1682536834.5185056,359080,-210.45985412597656
1682536868.4870858,360959,-76.87216186523438
1682536879.5601997,361575,-71.62127685546875
1682536967.0307372,366367,-73.4603500366211
1682537073.5542305,372299,-253.16407775878906
1682537122.50291,374970,-188.76910400390625
1682537170.1357787,377596,-107.14483642578125
1682537254.8221297,382281,-99.84941101074219
1682537365.0224934,388337,-159.15048217773438
1682537386.0170712,389493,-273.0860595703125
1682537512.9511101,396461,-76.02430725097656
1682537537.5333,397804,-202.95437622070312
1682537547.7954383,398374,-219.38949584960938
1682537591.4670153,400760,-124.5272216796875
1682537601.922497,401332,-137.59771728515625
1682537654.884778,404230,-116.24913024902344
1682537727.4995856,408166,-108.87801361083984
1682537753.6397605,409582,-97.65662384033203
1682537755.9065745,409710,-86.26272583007812
1682537899.7040431,417545,-47.28789520263672
