episode_steps,scores
0,-82.25034491219893
1,-140.06059963883962
2,-170.58492323061944
3,-93.63802364529963
4,-79.51831012820858
5,-193.22278195016582
6,-198.48180994631272
7,-329.4983809057186
8,-539.9132450416212
9,-191.6557960658325
10,-149.9638568180116
11,-544.6654870082914
12,-83.32317769306302
13,-59.288190172860766
14,-38.785940269105936
15,-239.2014229382389
16,-404.0736417025327
17,-97.48938105303633
18,-58.2687115217834
19,-176.24041834484433
20,-169.0522622144699
21,-120.92229444137661
22,-43.15180110799942
23,-176.09322887255536
24,-106.22582568631742
25,-126.15754214804117
26,-146.99416908031245
27,-15.9833404259968
28,-150.09384042801545
29,-117.00602621886857
30,-123.10303497548853
31,-186.63381353438655
32,-117.5651332543337
33,-133.9074258197541
34,-154.13495737921272
35,-188.16688159528786
36,-182.38746565921005
37,-332.2892819533933
38,-308.67074453283635
39,-297.63851721393155
40,-390.37248097090077
41,-368.05317981209515
42,-641.8122304655342
43,-378.33496747183835
44,-430.4360717615498
45,-342.5882888815752
46,-306.31759021729556
47,-260.3712029217734
48,-325.48844740581256
49,-293.5488264131586
50,-391.89959466755954
51,-159.5977039307543
52,63.767876157386254
53,27.191276950853535
54,-47.78913700323831
55,-32.295971953327324
56,-315.5203825093404
57,21.700245507513507
58,33.29854314557937
59,-70.76531649787661
60,-114.18538388425343
61,-385.61095707870135
62,-615.5740364534915
63,-136.7270865656501
64,-159.29462941755702
65,-238.1391906264611
66,18.21257169285877
67,-372.38481799088834
68,23.207222441334636
69,-106.38585530639938
70,-330.8602992308656
71,27.29834272443571
72,43.88093636738539
73,-123.41857885834429
74,113.74706741923521
75,-39.81694680119598
76,-313.53916151186036
77,-263.1985537219117
78,-440.531886810692
79,-353.8117921827903
80,-406.66948794321775
81,-451.39104358576736
82,-374.901155309277
83,-352.5192387702083
84,-442.23539156763144
85,-206.98977623275061
86,-125.11813688217609
87,-471.2470309258136
88,-814.087083501335
89,-684.1731560571016
90,-344.5757416850696
91,47.40474431795504
92,-120.03169894142198
93,-240.34587341086325
94,-202.38243839888554
95,-394.39692555032593
96,-164.6090245786913
97,-417.0569125557232
98,-373.9294997768928
99,-112.35660964054973
100,-127.68871919260418
101,-16.723960545647337
102,-278.0963188132855
103,-605.2171261232186
104,-621.280870985653
105,-323.5189863927952
106,-584.4905549788862
107,-522.2963943349496
108,-362.8805322987073
109,-508.6124659261856
110,-329.7479097249526
111,-115.82551532861537
112,-32.539516035705624
113,-183.2952101086683
114,-158.00485963065836
115,-195.05764482393496
116,62.13854469844874
117,-286.34362400561
118,-659.8271317535947
119,-328.4213757255452
120,55.6177334679073
121,-243.0717521128519
122,-303.9564832243915
123,-143.25570559972854
124,-141.30037913135084
125,-92.64615522168326
126,-85.75175838738333
127,-99.57686964198537
128,28.02309820364559
129,-99.37688915130543
130,-269.15068233471357
131,-118.18800604436522
132,50.62364428214675
133,-24.925332064614146
134,-315.8358106308781
135,-269.6074754722852
136,-288.15597678829204
137,-68.50494792680485
138,-158.17988064465138
139,-38.31418951570426
140,16.924940172813393
141,7.814039803772945
142,-64.04162176486176
143,-258.568409695632
144,-240.14775628830336
145,-99.56142083165358
146,15.929603314502092
147,-356.5684881389511
148,-231.2142515808578
149,15.748165226859975
150,7.019981696909043
151,-7.58903274377255
152,-325.1114268883401
153,-81.14444544661559
154,39.55205359561852
155,-145.07356713745313
156,-312.39296481897134
157,-44.103181928658834
158,32.30803297484303
159,8.602445006077083
160,-98.74484914995196
161,-37.973905169720666
162,-44.81480377597585
163,-343.5647890862965
164,-316.3199892924563
165,-362.7281433472004
166,-74.18754478517143
167,-133.8532312850937
168,-344.1336367378424
169,-99.3451869546718
170,-157.23302735179968
171,-76.18662532193721
172,26.680932145579792
173,-131.41198492374536
174,-285.3173017718433
175,-329.37177088647155
176,-74.76000051102713
177,-115.48800326179563
178,-101.78877684251391
179,-52.233951785612774
180,-130.48961348909745
181,-112.34542658004958
182,-217.92649791826616
183,-195.14945384746738
184,-176.44648978813095
185,-205.2713351277464
186,-238.53598687900887
187,-42.08112533694742
188,-94.56687974693075
189,-66.2434976484205
190,-143.05239961726616
191,-29.398367241788552
192,-148.4891040641706
193,-184.181155117317
194,-49.23923021513933
195,-137.66010747138802
196,-177.13831121042207
197,-75.97259493216959
198,11.447373235162829
199,-25.596117585014593
200,-6.820271966024147
201,-245.95324861817943
202,-105.80350402202419
203,-68.29708995478387
204,-254.24992645442435
205,-61.040714315435835
206,22.504265472349875
207,-0.3179033067119299
208,-7.199857054326914
209,16.700500439918738
210,-36.2441503559329
211,-278.71024712516396
212,-25.18560426236991
213,-20.535703845014446
214,-29.484444290878066
215,-58.295977094938806
216,-34.69901275822905
217,-44.85903903497433
218,-63.00487108806529
219,-177.81416839717673
220,-56.656365670717975
221,-1.311973805883864
222,-49.51008142509913
223,-8.446409464003292
224,-31.139478888366998
225,-135.6651940094054
226,-22.0608529870233
227,-77.630793617285
228,4.074732519659271
229,-90.86990127547757
230,-47.98404120206119
231,-197.6807683727869
232,-63.91077480966553
233,-232.15129669603823
234,-111.66053793632457
235,-83.70692203137088
236,-67.97448179194203
237,-237.02980756593777
238,-91.97909013660208
239,-36.214322805598584
240,-82.48015830802497
241,-54.88570021429176
242,-98.00704179911638
243,-39.98036225485993
244,-72.71900087318247
245,-9.922350420188987
246,-59.88784446955902
247,-78.08787026006507
248,-65.63101682137273
249,20.162705690783653
250,-48.95457785830403
251,-39.81786562450884
252,-24.667748648138108
253,-289.9221774984959
254,-37.13104543595579
255,-67.4391503032977
256,-6.685485171169787
257,-175.35761950358187
258,-120.2492855025715
259,-645.862845287154
260,-435.16720539916673
261,-96.79773555303959
262,-477.3461367226482
263,-21.77498165943756
264,-30.392904311056487
265,-20.76015855347723
266,-994.8351908925891
267,-469.4004733907524
268,-587.7863746104686
269,-338.54235578521707
270,-29.19504579514394
271,-28.399839232268587
272,-91.07938381727598
273,-116.37954957350738
274,-146.71152050933694
275,-343.3410583010526
276,-149.4688298199799
277,-278.59398203422495
278,-236.71041882178002
279,-165.63108048287603
280,-100.84100768551615
281,-362.5947375472983
282,-140.39829838359017
283,-104.24261952908684
284,-75.59533368173376
285,-197.68036312207795
286,-89.75440994678124
287,-54.93080406892365
288,-101.9395639498662
289,-56.98504339840617
290,-117.95564229764594
291,-72.63829586702926
292,-61.31363626578214
293,-15.853180112467822
294,10.572081571441394
295,-53.34313206750474
296,-41.9219009213752
297,-98.53610971768782
298,-53.530736321447165
299,-52.91249718443964
300,-118.23062337108959
301,-61.98957737109171
302,-9.873171890875117
303,-51.71918969683222
304,-7.349240563434092
305,-46.826636752889954
306,-53.14117242839145
307,-52.13919352680846
308,-6.646274602953037
309,-78.62812774831838
310,-103.12152733143164
311,-99.74796943819527
312,-71.67016532599527
313,-74.58552565339801
314,-42.76191373966586
315,-75.30938173384808
316,-92.58106002744958
317,-73.71015825738256
318,-26.33256462444134
319,-47.15629707637517
320,-37.62282689610509
321,-47.52555661350422
322,-0.6988998485617315
323,-66.98641905548719
324,-86.57094059880069
325,-43.62461250868912
326,-20.806331784129785
327,-55.782213536508024
328,-57.342579143389166
329,-38.28601383001696
330,-62.4102355979726
331,-17.707872970835666
332,-33.44621405783038
333,-8.7772828526876
334,-25.374563790673086
335,-39.79963885935714
336,40.72263427519499
337,-55.20631763425333
338,-7.397581628731344
339,-80.1419879510797
340,-39.02679416745956
341,-56.82732665067231
342,-29.218801414043583
343,-50.2367030776647
344,1.3859823466862868
345,-57.846351555611356
346,-23.60817341658099
347,-21.355505155861227
348,-20.03635992125382
349,-26.481010744187092
350,-41.661490625251176
351,-102.85076287938276
352,-72.15564178990685
353,-73.69478990812641
354,-8.623006840214435
355,-19.793736836972286
356,3.416337575416091
357,-20.205696157080897
358,-32.931737141025096
359,-67.31708412039737
360,-15.45055586482006
361,-72.35575741287664
362,-66.98458293346883
363,-34.585333126379936
364,-58.429956953911606
365,-71.66281835115427
366,-3.734046836519112
367,-42.18151985942471
368,-54.99230934966086
369,-65.48601864921737
370,-53.72180306045021
371,-35.601210738702264
372,-28.89170357491838
373,-75.41818302267077
374,-0.25632557125511035
375,16.296203186913555
376,-23.69824866058022
377,-50.673762705636406
378,1.8107878791763163
379,-9.746137679219332
380,27.53145329089341
381,39.960248569497836
