Wall time,Step,Value
1682260225.2027059,10600,183.0
1682260252.6090226,11900,139.0
1682260265.1947737,12500,127.0
1682260299.187395,14100,107.0
1682260303.5025609,14300,105.0
1682260309.9465497,14600,102.0
1682260314.3084443,14800,100.0
1682260326.9107058,15400,96.0
1682260333.3112175,15700,94.0
1682260365.4373672,17200,86.0
1682260371.8395872,17500,85.0
1682260382.5505228,18000,83.0
1682260400.0898066,18800,80.0
1682260419.716161,19500,77.0
1682260436.904854,20300,75.0
1682260443.3357003,20600,74.0
1682260445.456042,20700,74.0
1682260460.6243653,21400,72.0
1682260471.460086,21900,72.0
1682260488.6881614,22700,70.0
1682260516.875307,24000,68.0
1682260540.8897295,25100,67.0
1682260551.779611,25600,66.0
1682260558.419795,25900,66.0
1682260577.9078097,26800,65.0
1682260580.1591275,26900,65.0
1682260601.8043277,27900,64.0
1682260612.672144,28400,63.0
1682260617.1825538,28600,63.0
1682260619.3377233,28700,63.0
1682260628.145667,29100,63.0
1682260645.8473315,29900,62.0
1682260663.5890806,30700,61.0
1682260665.761465,30800,61.0
1682260676.6643507,31300,61.0
1682260700.9987476,32400,60.0
1682260714.2305207,33000,60.0
1682260725.5938325,33500,60.0
1682260732.1360836,33800,59.0
1682260759.161015,35000,59.0
1682260772.5289397,35600,58.0
1682260783.5921977,36100,58.0
1682260799.0334878,36800,58.0
1682260808.1024642,37200,58.0
1682260812.5315366,37400,57.0
1682260855.170314,39300,57.0
1682260866.4184551,39800,56.0
1682260868.7028863,39900,56.0
1682260880.1309438,40400,56.0
1682260891.3987343,40900,56.0
1682260896.0495558,41100,56.0
1682260913.8905666,41900,56.0
1682260916.2235568,42000,56.0
1682260931.99937,42700,55.0
1682260940.9050565,43100,55.0
1682260961.1653128,44000,55.0
1682260979.3882625,44800,55.0
1682261015.5802426,46400,54.0
1682261024.5566678,46800,54.0
1682261037.9236865,47400,54.0
1682261047.017677,47800,54.0
1682261051.597976,48000,54.0
1682261147.7303572,52200,53.0
1682261150.0302503,52300,53.0
1682261154.6160085,52500,53.0
