Wall time,Step,Value
1682260170.1944323,586,80.0
1682260175.7195868,1735,83.0
1682260178.1844761,2259,72.0
1682260184.810963,3652,114.0
1682260185.4321156,3785,67.0
1682260186.5581954,4022,66.0
1682260189.6650677,4700,100.0
1682260190.7086248,4943,68.0
1682260200.1038933,7162,85.0
1682260201.3503106,7450,108.0
1682260216.954836,10220,118.0
1682260231.386114,10899,86.0
1682260238.3721406,11224,79.0
1682260275.824143,13003,71.0
1682260299.8745017,14137,99.0
1682260320.8395588,15120,105.0
1682260332.655306,15672,90.0
1682260337.9446542,15921,84.0
1682260355.8007936,16755,130.0
1682260376.4613266,17719,70.0
1682260385.6306782,18141,73.0
1682260388.2243536,18264,61.0
1682260390.0109205,18348,84.0
1682260395.882159,18619,81.0
1682260412.1632183,19366,103.0
1682260433.6347742,20152,114.0
1682260441.8291686,20536,93.0
1682260463.8838477,21560,76.0
1682260474.9435914,22063,95.0
1682260484.2364829,22498,94.0
1682260510.6262338,23711,62.0
1682260522.3602307,24256,87.0
1682260531.9026635,24699,88.0
1682260544.5842745,25277,89.0
1682260551.1552143,25574,86.0
1682260554.7328835,25737,94.0
1682260592.309802,27462,120.0
1682260603.7787688,27992,105.0
1682260614.4283838,28481,75.0
1682260623.6059277,28898,86.0
1682260628.4041417,29116,95.0
1682260641.6557312,29719,90.0
1682260664.1044345,30724,71.0
1682260682.185295,31553,99.0
1682260696.9703038,32220,70.0
1682260727.8070838,33602,77.0
1682260736.3494422,33992,107.0
1682260753.7019424,34765,79.0
1682260841.6530416,38705,107.0
1682260844.08791,38811,106.0
1682260874.7135844,40168,61.0
1682260879.4754338,40379,99.0
1682260881.20879,40452,73.0
1682260887.1880069,40718,81.0
1682260917.7444777,42077,87.0
1682260923.882263,42345,86.0
1682260925.8467638,42436,91.0
1682260944.8003705,43272,64.0
1682260978.4950914,44761,75.0
1682260982.347846,44936,64.0
1682261023.254068,46743,83.0
1682261030.0040076,47050,114.0
1682261045.8797753,47752,105.0
1682261059.0479295,48328,129.0
1682261063.64851,48527,97.0
1682261069.015947,48762,83.0
1682261081.6936502,49324,82.0
1682261091.4326873,49756,81.0
1682261110.8076534,50609,78.0
1682261122.5705323,51115,86.0
1682261141.946073,51959,103.0
1682261154.421394,52499,96.0
1682261158.9955263,52693,123.0
1682261168.9230714,53123,87.0
1682261170.5612085,53198,75.0
1682261183.1035998,53742,84.0
1682261203.3335285,54625,107.0
1682261238.2751567,56147,77.0
1682261242.9866817,56356,83.0
1682261267.7660632,57411,80.0
1682261280.8009658,57978,71.0
1682261282.2022119,58034,56.0
1682261286.3660724,58215,94.0
1682261291.7482991,58450,85.0
1682261295.649371,58612,78.0
1682261361.5539525,61478,104.0
1682261366.8809566,61702,63.0
1682261373.2031486,61978,59.0
1682261379.5947115,62242,98.0
1682261406.1018693,63389,72.0
1682261415.5663092,63798,118.0
1682261425.6187234,64223,77.0
1682261435.1842697,64631,82.0
1682261486.6113362,66833,80.0
1682261495.2389157,67199,104.0
1682261503.2927263,67547,96.0
1682261505.1509984,67624,77.0
1682261518.888357,68219,95.0
1682261537.4604142,69006,88.0
1682261545.8517787,69368,106.0
1682261553.7170498,69698,68.0
1682261563.3772666,70110,80.0
1682261573.4493139,70537,114.0
1682261589.8950896,71232,82.0
1682261598.2357197,71591,103.0
1682261600.7116933,71697,106.0
1682261602.5565631,71776,79.0
1682261606.0838277,71928,64.0
1682261607.520587,71984,56.0
1682261618.77593,72466,76.0
1682261630.4393249,72963,115.0
1682261634.44239,73135,66.0
1682261648.131648,73713,112.0
1682261652.1000888,73887,95.0
1682261659.5595748,74201,106.0
1682261666.6200614,74505,77.0
1682261676.1940508,74901,72.0
1682261678.051931,74984,83.0
1682261680.4369555,75086,102.0
1682261725.836922,77005,79.0
1682261733.7747374,77347,107.0
1682261799.1693487,80106,88.0
1682261808.4377992,80495,94.0
1682261812.292417,80659,83.0
1682261824.0001478,81144,63.0
1682261840.8093858,81862,118.0
1682261853.098929,82381,96.0
1682261860.6491618,82710,84.0
1682261874.2613974,83274,85.0
1682261878.3193674,83441,88.0
1682261890.908805,83977,81.0
1682261894.9246197,84143,88.0
1682261923.1263435,85327,97.0
1682261925.0088947,85401,74.0
1682261945.9422011,86298,92.0
1682261952.12094,86551,79.0
1682261969.6430488,87286,88.0
1682261977.425232,87610,66.0
1682261985.3211236,87938,82.0
1682262002.7308652,88667,63.0
1682262004.875863,88755,88.0
1682262016.6651795,89241,80.0
1682262018.3522491,89311,70.0
1682262028.4926193,89740,82.0
1682262049.9688358,90624,80.0
1682262060.366599,91062,76.0
1682262066.3963037,91318,82.0
1682262083.5585876,92013,82.0
1682262087.611257,92186,57.0
1682262102.491576,92806,70.0
1682262124.6776273,93726,98.0
1682262138.155768,94298,92.0
1682262165.0573988,95413,85.0
1682262176.3899958,95881,89.0
1682262182.2097964,96122,70.0
1682262185.1476235,96246,63.0
1682262192.042324,96534,63.0
1682262198.807289,96812,59.0
1682262202.36553,96962,69.0
1682262212.3101077,97372,63.0
1682262214.2792675,97453,81.0
1682262230.6600463,98138,72.0
1682262242.075929,98607,79.0
1682262249.889907,98927,82.0
1682262251.518794,98992,65.0
1682262272.669885,99865,97.0
1682262283.0307395,100292,84.0
1682262309.3240583,101361,81.0
1682262351.9735703,103119,79.0
1682262354.2019794,103207,88.0
1682262362.654602,103555,78.0
1682262364.5455494,103634,79.0
1682262366.971886,103736,102.0
1682262401.6760926,105167,61.0
1682262424.098513,106071,82.0
1682262425.5688214,106134,63.0
1682262437.0274348,106606,68.0
1682262449.701347,107129,78.0
1682262501.7618446,109233,81.0
1682262505.5949233,109400,100.0
1682262524.4160204,110169,74.0
1682262547.1236622,111081,86.0
1682262552.5904043,111302,64.0
1682262558.1110382,111530,75.0
1682262597.232596,113124,74.0
1682262608.686719,113586,110.0
1682262622.7459466,114157,86.0
1682262634.1556528,114617,70.0
1682262654.4615571,115441,77.0
1682262667.5394862,115984,83.0
1682262673.2044458,116212,89.0
1682262690.375016,116916,89.0
1682262696.908238,117179,88.0
1682262702.7299492,117405,74.0
1682262709.1965923,117661,98.0
1682262711.4335582,117753,92.0
1682262745.3871262,119139,53.0
1682262807.7279649,121648,67.0
1682262813.5036297,121880,78.0
1682262815.9669363,121980,100.0
1682262820.1288054,122147,72.0
1682262822.340506,122240,93.0
1682262863.2316613,123881,66.0
1682262883.9374707,124719,74.0
1682262888.9291415,124912,100.0
1682262896.8450322,125231,88.0
1682262904.6791606,125550,81.0
1682262912.7540383,125869,86.0
1682262959.6356976,127742,69.0
1682262961.4114397,127816,74.0
1682262982.429604,128654,80.0
1682262998.9298697,129318,94.0
1682263006.7145615,129631,62.0
1682263011.2345698,129817,88.0
1682263030.9788227,130607,74.0
1682263043.9812286,131129,57.0
1682263071.9058144,132242,73.0
1682263074.009496,132328,86.0
1682263079.7911265,132553,55.0
1682263123.9225583,134321,65.0
1682263125.7158124,134395,74.0
1682263155.7227361,135598,86.0
1682263157.7420135,135678,80.0
1682263175.236371,136376,73.0
1682263185.7476726,136793,61.0
1682263192.2477562,137060,66.0
1682263210.236348,137774,95.0
1682263223.575033,138303,73.0
1682263225.7928276,138397,94.0
1682263236.173591,138814,63.0
1682263250.6866224,139393,83.0
1682263268.2687912,140098,64.0
1682263278.5065837,140508,80.0
1682263288.697079,140911,94.0
1682263294.9658937,141163,86.0
1682263304.481436,141544,70.0
1682263310.210984,141775,90.0
1682263317.5336435,142065,76.0
1682263332.4659476,142654,69.0
1682263348.060726,143275,55.0
1682263361.7371948,143820,86.0
1682263375.7592292,144375,66.0
1682263394.0049438,145105,79.0
1682263403.9707057,145503,74.0
1682263405.217164,145559,56.0
1682263407.2011113,145634,75.0
1682263410.6669614,145771,62.0
1682263415.749704,145978,78.0
1682263428.2929454,146478,75.0
1682263445.2467866,147154,71.0
1682263463.7226255,147891,83.0
1682263471.1316988,148184,80.0
1682263475.4523191,148358,85.0
1682263481.5152571,148597,92.0
1682263491.0842283,148977,75.0
1682263496.4520774,149181,61.0
1682263498.3985012,149261,80.0
1682263500.2515745,149337,76.0
1682263536.8314846,150787,69.0
1682263554.8313982,151499,75.0
1682263564.9331334,151887,58.0
1682263577.5310974,152389,70.0
1682263579.478041,152462,73.0
1682263596.4658897,153135,79.0
1682263608.5619612,153620,65.0
1682263630.2479486,154479,65.0
1682263647.392033,155150,68.0
1682263655.5018613,155467,93.0
1682263673.8548577,156197,92.0
1682263680.3818738,156455,60.0
1682263690.0526762,156833,87.0
