Wall time,Step,Value
1682260170.1942856,586,-312.8984375
1682260175.7194858,1735,-129.06057739257812
1682260178.1843836,2259,-106.96311950683594
1682260184.8108535,3652,-312.6106872558594
1682260185.4319925,3785,-213.93118286132812
1682260186.558053,4022,-103.3344955444336
1682260189.6649725,4700,-122.32398223876953
1682260190.7085335,4943,-87.29739379882812
1682260200.1037757,7162,-331.67083740234375
1682260201.350217,7450,-346.177734375
1682260216.9547029,10220,-206.4954833984375
1682260231.3860157,10899,-110.17562866210938
1682260238.3720317,11224,-102.85333251953125
1682260275.8240192,13003,-114.40544891357422
1682260299.8743882,14137,-314.17767333984375
1682260320.8394399,15120,-415.0105895996094
1682260332.6551838,15672,-128.31951904296875
1682260337.9445167,15921,-218.80604553222656
1682260355.8006716,16755,-68.28231811523438
1682260376.4611664,17719,-96.2573013305664
1682260385.630553,18141,-137.31179809570312
1682260388.2242253,18264,-58.60170364379883
1682260390.0108242,18348,-46.142520904541016
1682260395.8820257,18619,-96.1077651977539
1682260412.1631114,19366,-444.25347900390625
1682260433.6346185,20152,-285.2178955078125
1682260441.8290532,20536,-133.55166625976562
1682260463.8837123,21560,-107.2289047241211
1682260474.9434736,22063,-284.2081298828125
1682260484.2363482,22498,-121.07483673095703
1682260510.6261232,23711,-135.69189453125
1682260522.3601336,24256,-126.50205993652344
1682260531.9025807,24699,-113.09038543701172
1682260544.5841894,25277,-65.13827514648438
1682260551.1551106,25574,-379.3330993652344
1682260554.7327874,25737,-276.2388610839844
1682260592.3096871,27462,-343.7103271484375
1682260603.778636,27992,-427.6448974609375
1682260614.4282382,28481,-414.5721740722656
1682260623.6057606,28898,-154.88230895996094
1682260628.4040184,29116,-172.655029296875
1682260641.6556072,29719,-17.433448791503906
1682260664.1042926,30724,-149.55014038085938
1682260682.1851618,31553,-467.18853759765625
1682260696.9701307,32220,-335.1730651855469
1682260727.8069646,33602,-105.54229736328125
1682260736.34934,33992,-186.35809326171875
1682260753.7018352,34765,-171.38485717773438
1682260841.6529462,38705,-143.2128143310547
1682260844.087779,38811,-261.99310302734375
1682260874.713494,40168,-100.32771301269531
1682260879.4753227,40379,-388.9615783691406
1682260881.2086992,40452,-251.98353576660156
1682260887.1878767,40718,-266.55450439453125
1682260917.7443686,42077,19.30413055419922
1682260923.882146,42345,-128.835693359375
1682260925.8466144,42436,-132.5609588623047
1682260944.8002367,43272,-127.19155883789062
1682260978.494958,44761,-102.66922760009766
1682260982.347751,44936,-313.9313659667969
1682261023.2539701,46743,-178.39724731445312
1682261030.003895,47050,-100.35741424560547
1682261045.87963,47752,-356.4716796875
1682261059.0478172,48328,-273.8560791015625
1682261063.6483607,48527,-335.71234130859375
1682261069.0158336,48762,-293.648681640625
1682261081.693554,49324,-122.91738891601562
1682261091.4325745,49756,-106.56620025634766
1682261110.8075156,50609,-227.90867614746094
1682261122.570432,51115,-317.4639892578125
1682261141.9459565,51959,-250.00790405273438
1682261154.4213,52499,-169.554443359375
1682261158.9954286,52693,-371.26531982421875
1682261168.9229481,53123,-223.58627319335938
1682261170.561054,53198,-50.417022705078125
1682261183.1035159,53742,-534.4927978515625
1682261203.3333712,54625,-281.603515625
1682261238.2750134,56147,-222.08306884765625
1682261242.9865527,56356,-399.25244140625
1682261267.7659538,57411,-492.45281982421875
1682261280.8008518,57978,-139.2548828125
1682261282.2020428,58034,-135.29202270507812
1682261286.3659563,58215,-508.6222839355469
1682261291.748207,58450,-506.8962707519531
1682261295.6492674,58612,-169.14503479003906
1682261361.553838,61478,-437.6090393066406
1682261366.880843,61702,-236.1089324951172
1682261373.203056,61978,-258.1162109375
1682261379.5945868,62242,-265.043701171875
1682261406.1017115,63389,-283.48614501953125
1682261415.566216,63798,-218.5050811767578
1682261425.6185899,64223,-475.510009765625
1682261435.1841695,64631,-471.6641845703125
1682261486.6112006,66833,-338.45611572265625
1682261495.2388113,67199,-482.1322021484375
1682261503.2926457,67547,-413.36126708984375
1682261505.1508648,67624,-104.85853576660156
1682261518.8882065,68219,-361.84600830078125
1682261537.4602804,69006,-109.80287170410156
1682261545.8516738,69368,-435.5788879394531
1682261553.716903,69698,-182.95858764648438
1682261563.377175,70110,-474.6591796875
1682261573.4491866,70537,-657.5912475585938
1682261589.8949304,71232,-466.5235900878906
1682261598.2355778,71591,-429.97625732421875
1682261600.711527,71697,-585.4136962890625
1682261602.5564957,71776,32.72740173339844
1682261606.0836906,71928,-128.90484619140625
1682261607.5204926,71984,-187.13792419433594
1682261618.7758036,72466,-203.11825561523438
1682261630.4392264,72963,-614.9921264648438
1682261634.442275,73135,-268.34442138671875
1682261648.1315658,73713,-345.15216064453125
1682261652.0999608,73887,-289.41253662109375
1682261659.5594728,74201,-533.053955078125
1682261666.61993,74505,-441.7161560058594
1682261676.1939301,74901,-396.0041198730469
1682261678.051819,74984,-10.387115478515625
1682261680.4368386,75086,-393.4356384277344
1682261725.8368404,77005,-241.04823303222656
1682261733.7745903,77347,-509.25396728515625
1682261799.1692173,80106,-514.6123046875
1682261808.4377015,80495,-388.291748046875
1682261812.2922964,80659,-326.71051025390625
1682261823.9999917,81144,-182.12924194335938
1682261840.8092787,81862,-49.00656509399414
1682261853.0988426,82381,-429.4255065917969
1682261860.6490543,82710,-211.21890258789062
1682261874.2612348,83274,-349.4012451171875
1682261878.3192575,83441,-382.111572265625
1682261890.9087489,83977,-481.7233581542969
1682261894.9244776,84143,-560.095703125
1682261923.1262462,85327,-582.6707763671875
1682261925.0088325,85401,-243.33409118652344
1682261945.9420784,86298,-577.23779296875
1682261952.1208413,86551,-371.8831787109375
1682261969.6429431,87286,-248.5486297607422
1682261977.4250863,87610,-111.88285827636719
1682261985.3209863,87938,-486.4892883300781
